scope,run_id,run_label,benchmark_name,model,prompt_family_id,experiment_group,variant_name,match_count,run_count,first_win_count,second_win_count,draw_count,first_win_rate,second_win_rate,draw_rate,first_score_mean,first_score_variance,first_minus_second_win_rate
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,connect4,15,1,15,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_163635_8bf1db5_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,,internal_ai_tournament,connect4,9,1,9,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260411_213908_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,9,1,9,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260411_214117_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,9,1,9,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260411_214609_032b2a0_dirty,baseline_architecture_benchmark,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,9,1,9,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_173141_8bf1db5_dirty,difficulty_connect4_wide,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_wide_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_172920_8bf1db5_dirty,final_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_172948_8bf1db5_dirty,final_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_173224_8bf1db5_dirty,final_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_164625_8bf1db5_dirty,gameenv_smoke,gameenv_smoke,mock-deterministic,,internal_ai_tournament,connect4,3,1,3,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,metrics_section9_smoke,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,connect4,3,1,3,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_215707_032b2a0_dirty,model_scale_subset,multi_agent_llm_game_benchmark_model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,16,14,0,0.5333333333333333,0.4666666666666667,0.0,0.5333333333333333,0.24888888888888888,0.06666666666666667
run,run_20260410_215833_032b2a0_dirty,model_scale_subset,multi_agent_llm_game_benchmark_model_scale_subset,qwen2_5_param_count_subset,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,13,17,0,0.43333333333333335,0.5666666666666667,0.0,0.43333333333333335,0.24555555555555555,-0.13333333333333333
run,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,9,1,9,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_173043_8bf1db5_dirty,prompt_chain_of_thought_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,chain_of_thought_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_173111_8bf1db5_dirty,prompt_legality_first_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,legality_first_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_173015_8bf1db5_dirty,prompt_minimal_architecture_comparison,multi_agent_llm_game_benchmark_mock,mock-deterministic,minimal_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,30,0,0,1.0,0.0,0.0,1.0,0.0,1.0
run,run_20260410_215734_032b2a0_dirty,quantization_subset,multi_agent_llm_game_benchmark_quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,18,12,0,0.6,0.4,0.0,0.6,0.24,0.2
run,run_20260411_002628_032b2a0_dirty,quantization_subset,multi_agent_llm_game_benchmark_quantization_subset,qwen2_5_7b_quantization_subset,structured_reasoning_v1,internal_ai_tournament,gravity_grid_standard_v1,30,1,14,15,1,0.4666666666666667,0.5,0.03333333333333333,0.48333333333333334,0.24138888888888888,-0.03333333333333333
run,run_20260410_163730_8bf1db5_dirty,runtime_smoke,runtime_smoke,mock-deterministic,,internal_ai_tournament,connect4,3,1,3,0,0,1.0,0.0,0.0,1.0,0.0,1.0
