scope,run_id,run_label,benchmark_name,model,prompt_family_id,experiment_group,game,variant_name,architecture_id,architecture_name,trial_count,run_count,outcome_score_mean,outcome_score_variance,outcome_score_stddev,outcome_score_observations,invalid_rate_mean,invalid_rate_variance,invalid_rate_stddev,invalid_rate_observations,nash_distance_mean,nash_distance_variance,nash_distance_stddev,nash_distance_observations,oracle_accuracy_mean,oracle_accuracy_variance,oracle_accuracy_stddev,oracle_accuracy_observations,value_gap_mean,value_gap_variance,value_gap_stddev,value_gap_observations,blunder_rate_mean,blunder_rate_variance,blunder_rate_stddev,blunder_rate_observations
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,hierarchical,Hierarchical Team,5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,hierarchical_multi_critic,Hierarchical Team (2 Critics),5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,hierarchical_no_critic,Hierarchical Team (No Critic),5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,parallel,Parallel Team,5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,parallel_2,Parallel Team (2),5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,blotto,blotto,single,Single Agent,5,1,0.5,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,connect4,connect4,hierarchical_team,Hierarchical Team,5,1,0.4,0.24,0.4898979485566356,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,connect4,connect4,hierarchical_team_2_critics,Hierarchical Team (2 Critics),5,1,0.0,0.0,0.0,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,connect4,connect4,hierarchical_team_no_critic,Hierarchical Team (No Critic),5,1,0.2,0.16,0.4,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
run,run_20260410_164115_8bf1db5_dirty,architecture_smoke,architecture_smoke,mock-deterministic,,internal_ai_tournament,connect4,connect4,parallel_team,Parallel Team,5,1,0.6,0.24,0.4898979485566356,5,0.0,0.0,0.0,5,,,,0,,,,0,,,,0,,,,0
