average_value_gap,blotto_nash_distance,blunder_rate,connect4_optimal_move_accuracy,consistency_accuracy_variance,consistency_nash_distance_variance,consistency_outcome_stability,consistency_per_state_agreement,consistency_variance_across_trials,experiment_group,game,hallucination_rate,invalid_attempt_rate,legality_rate,losses,matches,model,prompt_family_id,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.127,,,,0.0017410000000000001,0.6,,0.24,internal_ai_tournament,blotto,0.0,0.0,1.0,6,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,0.0,0,0.4,4
,0.10300000000000001,,,,0.005861000000000001,0.5,,0.2225,internal_ai_tournament,blotto,0.0,0.0,1.0,5,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,0.1,1,0.4,4
,,,,,,0.7,0.7916666666666666,0.21,internal_ai_tournament,connect4,0.0,0.0,1.0,7,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,0.0,0,0.3,3
,,,,,,0.6,0.8611111111111112,0.24,internal_ai_tournament,connect4,0.0,0.0,1.0,4,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,0.0,0,0.6,6
,0.097,,,,0.005361,0.5,,0.19,internal_ai_tournament,blotto,0.0,0.0,1.0,3,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,0.2,2,0.5,5
,,,,,,0.6,0.6041666666666666,0.24,internal_ai_tournament,connect4,0.0,0.0,1.0,4,10,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,0.0,0,0.6,6
,0.088,,,,0.0027359999999999997,0.5,,0.25,internal_ai_tournament,blotto,0.0,0.0,1.0,5,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,0.0,0,0.5,5
,,,,,,0.7,0.5833333333333334,0.21,internal_ai_tournament,connect4,0.0,0.0,1.0,7,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,0.0,0,0.3,3
,0.071,,,,0.001709,0.8,,0.16,internal_ai_tournament,blotto,0.0,0.0,1.0,2,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,0.0,0,0.8,8
,,,,,,0.8,0.6527777777777778,0.16,internal_ai_tournament,connect4,0.0,0.0,1.0,2,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,0.0,0,0.8,8
,0.08777777777777777,,,,0.004195061728395062,0.7,,0.1625,internal_ai_tournament,blotto,0.1,0.1,0.9,7,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,0.1,1,0.2,2
,,,,,,0.6,0.6666666666666666,0.24,internal_ai_tournament,connect4,0.0,0.0,1.0,6,10,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,0.0,0,0.4,4
,0.14375,,,,0.0043734375,0.625,,0.234375,blotto_vs_bots,blotto,0.0,0.0,1.0,3,8,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,0.0,0,0.625,5
,0.1175,,,,0.00966875,0.5,,0.25,blotto_vs_bots,blotto,0.0,0.0,1.0,4,8,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,0.0,0,0.5,4
,0.18,,,,0.0029000000000000007,0.5,,0.25,blotto_vs_bots,blotto,0.0,0.0,1.0,4,8,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,0.0,0,0.5,4
,0.1325,,,,0.009118750000000002,0.5,,0.21484375,blotto_vs_bots,blotto,0.0,0.0,1.0,4,8,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,0.125,1,0.375,3
,0.09875,,,,0.0025359375,0.625,,0.234375,blotto_vs_bots,blotto,0.0,0.0,1.0,5,8,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,0.0,0,0.375,3
,0.1475,,,,0.01001875,0.5,,0.21484375,blotto_vs_bots,blotto,0.0,0.0,1.0,3,8,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,0.125,1,0.5,4
16679.6667,,0.8333333333333334,16.67,0.0,,1.0,1.0,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_lmh,architecture,0.0,0,0.0,0
9554.7,,0.6636363636363636,33.635,40.513225000000006,,1.0,0.75,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_hhl,architecture,0.0,0,0.0,0
14280.7143,,0.5714285714285714,42.855000000000004,204.061225,,1.0,0.75,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,parallel_llh,architecture,0.0,0,0.0,0
13920.72225,,0.8611111111111112,13.89,7.728400000000006,,1.0,0.75,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_lmh,architecture,0.0,0,0.0,0
13889.4769,,0.823076923076923,17.69,5.336099999999998,,1.0,0.875,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_hhl,architecture,0.0,0,0.0,0
15480.33335,,0.7619047619047619,23.81,90.6304,,1.0,0.8333333333333334,0.0,connect4_oracle_accuracy,connect4,0.0,0.0,1.0,2,2,qwen2_5_param_count_subset,structured_reasoning_v1,hierarchical_llh,architecture,0.0,0,0.0,0
