average_value_gap,blotto_nash_distance,blunder_rate,comparison_axis,connect4_optimal_move_accuracy,consistency,experiment_group,game,hallucination_rate,invalid_attempt_rate,is_section14_3,legality_rate,losses,matches,model,prompt_family,prompt_family_id,run_id,run_label,scope_id,scope_type,tie_rate,ties,win_rate,wins
,0.185,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.0012250000000000002}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,single,architecture,1.0,2,0.0,0
,0.125,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.009025}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,parallel,architecture,1.0,2,0.0,0
,,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,0,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,single,architecture,0.0,0,1.0,2
,,,,,"{'variance_across_trials': 0.25, 'per_state_agreement': None, 'outcome_stability': 0.5, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,1,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,parallel,architecture,0.0,0,0.5,1
,0.09,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.0036}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,hierarchical,architecture,1.0,2,0.0,0
,,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,2,2,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,hierarchical,architecture,0.0,0,0.0,0
,0.1425,,,,"{'variance_across_trials': 0.1875, 'per_state_agreement': None, 'outcome_stability': 0.75, 'accuracy_variance': None, 'nash_distance_variance': 0.004368749999999999}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,3,4,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,single,architecture,0.0,0,0.25,1
,0.1525,,,,"{'variance_across_trials': 0.1875, 'per_state_agreement': None, 'outcome_stability': 0.75, 'accuracy_variance': None, 'nash_distance_variance': 0.0037687500000000004}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,3,4,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,parallel,architecture,0.0,0,0.25,1
,0.24,,,,"{'variance_across_trials': 0.1875, 'per_state_agreement': None, 'outcome_stability': 0.75, 'accuracy_variance': None, 'nash_distance_variance': 0.0014499999999999995}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,3,4,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,hierarchical,architecture,0.0,0,0.25,1
20010.8,,0.8,,20.0,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': 0.0, 'nash_distance_variance': None}",connect4_oracle_accuracy,connect4,0.0,0.0,False,1.0,1,1,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,single,architecture,0.0,0,0.0,0
20010.8,,0.8,,20.0,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': 0.0, 'nash_distance_variance': None}",connect4_oracle_accuracy,connect4,0.0,0.0,False,1.0,1,1,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,parallel,architecture,0.0,0,0.0,0
20010.8,,0.8,,20.0,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': 0.0, 'nash_distance_variance': None}",connect4_oracle_accuracy,connect4,0.0,0.0,False,1.0,1,1,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,hierarchical,architecture,0.0,0,0.0,0
,0.13333333333333333,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.006155555555555556}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,mock-deterministic,model,1.0,6,0.0,0
,,,,,"{'variance_across_trials': 0.25, 'per_state_agreement': 1.0, 'outcome_stability': 0.5, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,3,6,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,mock-deterministic,model,0.0,0,0.5,3
,0.17833333333333334,,,,"{'variance_across_trials': 0.1875, 'per_state_agreement': None, 'outcome_stability': 0.75, 'accuracy_variance': None, 'nash_distance_variance': 0.005113888888888888}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,9,12,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,mock-deterministic,model,0.0,0,0.25,3
20010.8,,0.8,,20.0,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': 0.0, 'nash_distance_variance': None}",connect4_oracle_accuracy,connect4,0.0,0.0,False,1.0,3,3,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,mock-deterministic,model,0.0,0,0.0,0
,0.13333333333333333,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.006155555555555556}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,structured_reasoning_v1,prompt,1.0,6,0.0,0
,,,,,"{'variance_across_trials': 0.25, 'per_state_agreement': 1.0, 'outcome_stability': 0.5, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,3,6,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,structured_reasoning_v1,prompt,0.0,0,0.5,3
,0.17833333333333334,,,,"{'variance_across_trials': 0.1875, 'per_state_agreement': None, 'outcome_stability': 0.75, 'accuracy_variance': None, 'nash_distance_variance': 0.005113888888888888}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,9,12,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,structured_reasoning_v1,prompt,0.0,0,0.25,3
20010.8,,0.8,,20.0,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': 0.0, 'nash_distance_variance': None}",connect4_oracle_accuracy,connect4,0.0,0.0,False,1.0,3,3,mock-deterministic,structured_reasoning,,run_20260410_170138_8bf1db5_dirty,metrics_section9_smoke,structured_reasoning_v1,prompt,0.0,0,0.0,0
,0.14833333333333334,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.0024138888888888886}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,single,architecture,1.0,6,0.0,0
,0.125,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.004525}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,parallel,architecture,1.0,6,0.0,0
,,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,single,architecture,0.0,0,1.0,6
,,,,,"{'variance_across_trials': 0.25, 'per_state_agreement': 1.0, 'outcome_stability': 0.5, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,3,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,parallel,architecture,0.0,0,0.5,3
,0.12666666666666668,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': None, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': 0.003255555555555556}",internal_ai_tournament,blotto,0.0,0.0,False,1.0,0,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,hierarchical,architecture,1.0,6,0.0,0
,,,,,"{'variance_across_trials': 0.0, 'per_state_agreement': 1.0, 'outcome_stability': 1.0, 'accuracy_variance': None, 'nash_distance_variance': None}",internal_ai_tournament,connect4,0.0,0.0,False,1.0,6,6,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,hierarchical,architecture,0.0,0,0.0,0
,0.14166666666666666,,,,"{'variance_across_trials': 0.1388888888888889, 'per_state_agreement': None, 'outcome_stability': 0.8333333333333334, 'accuracy_variance': None, 'nash_distance_variance': 0.006813888888888889}",blotto_vs_bots,blotto,0.0,0.0,False,1.0,10,12,mock-deterministic,structured_reasoning,structured_reasoning_v1,run_20260410_172912_8bf1db5_dirty,pilot_architecture_comparison,single,architecture,0.0,0,0.16666666666666666,2
