architecture_ids,architecture_names,architecture_types,backend,benchmark_name,completed_at,duration_ms,experiment_group,game,game_parameters,model,outcome_label,prompt_family,prompt_family_id,prompt_version,record_type,run_id,seed,started_at,trial,trial_id,variant_name
"[""parallel_lmh"", ""parallel_hhl""]","[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T01:59:18Z,45000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,743602015,2026-04-11T01:58:33Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::743602015,discrete_blotto_v1
"[""parallel_lmh"", ""parallel_hhl""]","[""Parallel Team (Low+Med+High)"", ""Parallel Team (High+High+Low)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:04:29Z,311000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (High+High+Low),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3316948868,2026-04-11T01:59:18Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::3316948868,gravity_grid_standard_v1
"[""parallel_lmh"", ""parallel_llh""]","[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:05:06Z,37000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Low+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3996016087,2026-04-11T02:04:29Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::3996016087,discrete_blotto_v1
"[""parallel_lmh"", ""parallel_llh""]","[""Parallel Team (Low+Med+High)"", ""Parallel Team (Low+Low+High)""]","[""parallel"", ""parallel""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:07:56Z,170000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Low+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,722103908,2026-04-11T02:05:06Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::722103908,gravity_grid_standard_v1
"[""parallel_lmh"", ""hierarchical_lmh""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:08:38Z,42000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->Med->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,216001872,2026-04-11T02:07:56Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::216001872,discrete_blotto_v1
"[""parallel_lmh"", ""hierarchical_lmh""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Med->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:13:20Z,282000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Med+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,2548335833,2026-04-11T02:08:38Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::2548335833,gravity_grid_standard_v1
"[""parallel_lmh"", ""hierarchical_hhl""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:13:53Z,33000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->High->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,4059760972,2026-04-11T02:13:20Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::4059760972,discrete_blotto_v1
"[""parallel_lmh"", ""hierarchical_hhl""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->High->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:17:43Z,230000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Med+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,3936739859,2026-04-11T02:13:53Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::3936739859,gravity_grid_standard_v1
"[""parallel_lmh"", ""hierarchical_llh""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:18:11Z,28000,internal_ai_tournament,blotto,"{""baseline_bots"": [""uniform"", ""random"", ""high_value_targeting"", ""nash_approx""], ""battlefields"": 3, ""discrete"": true, ""display_name"": ""Simultaneous Resource Game"", ""game_id"": ""blotto"", ""point_policy"": ""random_range"", ""point_range"": [10, 50], ""troop_budget"": 100, ""variant_name"": ""discrete_blotto_v1""}",qwen2_5_param_count_subset,Parallel Team (Low+Med+High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,2028844489,2026-04-11T02:17:43Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::blotto::1::2028844489,discrete_blotto_v1
"[""parallel_lmh"", ""hierarchical_llh""]","[""Parallel Team (Low+Med+High)"", ""Hierarchical Team (Low->Low->High)""]","[""parallel"", ""hierarchical""]",ollama,multi_agent_llm_game_benchmark_model_scale_subset,2026-04-11T02:21:26Z,195000,internal_ai_tournament,connect4,"{""columns"": 7, ""connect_length"": 4, ""display_name"": ""Gravity Grid Game"", ""game_id"": ""connect4"", ""oracle_depth"": 4, ""oracle_metric"": {""description"": ""Count a move as accurate if it matches any oracle-equivalent best move, and also record the oracle value gap."", ""type"": ""any_optimal_move_plus_value_gap""}, ""rows"": 6, ""variant_name"": ""gravity_grid_standard_v1""}",qwen2_5_param_count_subset,Hierarchical Team (Low->Low->High),structured_reasoning,structured_reasoning_v1,structured_reasoning_v1,trial_metadata,run_20260410_215833_032b2a0_dirty,326902339,2026-04-11T02:18:11Z,1,run_20260410_215833_032b2a0_dirty::internal_ai_tournament::connect4::1::326902339,gravity_grid_standard_v1
